Date,Place Name,Latitude,Longitude,SST,Chlorophyll-a Concentration,Sea Surface Salinity,Sea Level Pressure,Wind Speed,Solar Radiation,Cloud Cover,Wave Height,Precipitation,Bleaching
01-01-2018,Coral Bay,-1.933117946,117.02199146974439,27.6,2.67,34.6,1015.5,10.9,297.3,39,1.9,53.3,0
01-02-2018,Blue Reef,-0.31771137,112.0423298542259,30,0.4,36.2,1022.1,8,344.2,57,1,30.8,1
01-03-2018,Sunrise Atoll,5.408734739464055,135.91686839612925,27.2,0.67,35.6,1014.3,4.7,337.7,56,0.8,79,0
01-04-2018,Pearl Island,11.637464899596633,121.48503330423362,30.2,1.93,34.6,1021.9,11.5,274,1,0.6,87.2,0
01-05-2018,Crystal Cove,-10.03582178,141.15821403310966,29.3,1.57,33.1,1007.2,14.8,247.8,41,2.1,60.2,0
01-06-2018,Golden Sands,6.814875537794748,156.96507871246155,27.3,0.94,35.6,1010.1,10.2,253.8,66,0.5,48.2,0
01-07-2018,Lagoon Bay,14.906890372821515,139.12629444527215,28.1,2.51,34.5,1023,2.1,312,32,1.2,114.3,0
01-08-2018,Coral Bay,-4.288643628,149.0853310474019,28.7,1.6,35.8,1014.7,11.6,231,23,2.3,172.5,0
01-09-2018,Blue Reef,2.0372936590430655,151.10345882861657,29.3,0.63,33,1017.7,6.7,291.5,82,0.8,154.2,0
01-10-2018,Sunrise Atoll,14.395087302420492,145.5942552345108,29.8,2.49,32.7,1008.7,5.9,322.1,85,0.9,112.1,1
01-11-2018,Pearl Island,-0.32386401,115.72212072832721,29.2,1.64,33.1,1005.9,1.1,256.9,85,0.6,110.5,0
01-12-2018,Crystal Cove,2.7053722955654713,137.36356851984948,30.2,2.55,35.3,1007.3,3.3,204.5,83,1.8,138.7,0
01-01-2019,Golden Sands,5.2647349023487635,117.22605262988581,27.6,2.11,36.9,1019.1,13.2,345.9,32,1.7,14.8,0
01-02-2019,Lagoon Bay,-4.422085216,110.14053941814919,28.5,0.76,34,1011.6,15,253.3,35,1.3,111.9,0
01-03-2019,Coral Bay,2.3664045787553505,122.40597177235972,29.9,1.16,36,1006.4,1.9,265.5,64,1.9,98.5,0
01-04-2019,Blue Reef,11.240312031820423,147.57006901935517,27.8,2.77,35.1,1009.3,14.8,315.3,83,0.7,120.4,0
01-05-2019,Sunrise Atoll,12.07278681,120.53837690279119,30.3,1.25,37,1016.2,8.5,295.2,85,2.4,6.8,0
01-06-2019,Pearl Island,-15.95826482,145.82951754819518,30.4,1.8,35.6,1006.1,8.8,317.7,11,1.8,160.8,1
01-07-2019,Crystal Cove,-14.07747029,116.60693472652105,28.4,0.53,34.6,1020.5,7.6,207.3,64,0.5,89.9,0
01-08-2019,Golden Sands,17.31430735169603,156.68763708194217,27,0.14,32.2,1018.4,2.9,285.2,100,1.1,120,0
01-09-2019,Lagoon Bay,14.82473208567464,139.44616795100617,28.9,0.46,34.3,1024.2,9.1,336,55,1,60.1,0
01-10-2019,Coral Bay,18.67634891980323,119.41116554356108,27.7,0.97,36.7,1014.5,4.5,302.4,33,0.7,35.5,0
01-11-2019,Blue Reef,1.0640642688036053,157.37520172829446,27.8,1,35.7,1006.4,4.4,336.4,14,0.9,120.6,0
01-12-2019,Sunrise Atoll,-12.62680761,114.43023860382564,27.7,1.08,35.4,1008.7,3.1,267.3,11,1.1,187,0
01-01-2020,Pearl Island,13.018489076400428,132.0345692478562,29.3,2.47,33.1,1014.7,8.3,243.8,52,1.9,60,0
01-02-2020,Crystal Cove,18.951883095398273,122.00105485248466,29.1,2.42,32.1,1010.7,1.2,279.3,85,2,49.2,0
01-03-2020,Golden Sands,-2.095956671,133.9463297910281,29.5,0.21,36.2,1020.5,5.2,311.8,54,2.3,117.5,0
01-04-2020,Lagoon Bay,7.044261728528301,128.52675904234275,28.5,0.17,32.3,1007.1,10.5,256.6,64,2,40.1,0
01-05-2020,Coral Bay,-1.800482319,152.92945937199644,29.2,2.62,36.1,1020.3,4,216,98,2.4,99.8,0
01-06-2020,Blue Reef,9.142789492416753,136.83615775669335,29.8,2.99,35.4,1012.9,9.1,349,6,1.9,126.6,1
01-07-2020,Sunrise Atoll,6.623503959,149.20811178935702,28,0.89,34.7,1023.3,3.4,266.6,28,1,76.3,0
01-08-2020,Pearl Island,17.74608248107529,146.2421823413414,27.7,2.68,33.6,1009.9,12.3,206.9,47,1.1,143.5,0
01-09-2020,Crystal Cove,5.822929404633442,125.68474007824302,30.4,0.89,35.3,1012.8,7.1,282.8,63,1.4,44.9,0
01-10-2020,Golden Sands,-13.95142244,137.37697215431243,28.7,1.24,33.9,1011.6,2.3,349.9,75,2.3,137.8,0
